"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03122V03774","Type of Carriageway","UNIT","VALUE"
"NRA01","National Road Length","2004","2004","-","All Carriage ways","Kilometres","5422"
"NRA01","National Road Length","2004","2004","01","Motorway","Kilometres","192"
"NRA01","National Road Length","2004","2004","02","Dual carriageway/two plus one","Kilometres","285"
"NRA01","National Road Length","2004","2004","03","Single","Kilometres","4944"
"NRA01","National Road Length","2005","2005","-","All Carriage ways","Kilometres","5415"
"NRA01","National Road Length","2005","2005","01","Motorway","Kilometres","247"
"NRA01","National Road Length","2005","2005","02","Dual carriageway/two plus one","Kilometres","308"
"NRA01","National Road Length","2005","2005","03","Single","Kilometres","4860"
"NRA01","National Road Length","2006","2006","-","All Carriage ways","Kilometres","5427"
"NRA01","National Road Length","2006","2006","01","Motorway","Kilometres","270"
"NRA01","National Road Length","2006","2006","02","Dual carriageway/two plus one","Kilometres","353"
"NRA01","National Road Length","2006","2006","03","Single","Kilometres","4804"
"NRA01","National Road Length","2007","2007","-","All Carriage ways","Kilometres","5428"
"NRA01","National Road Length","2007","2007","01","Motorway","Kilometres","269"
"NRA01","National Road Length","2007","2007","02","Dual carriageway/two plus one","Kilometres","445"
"NRA01","National Road Length","2007","2007","03","Single","Kilometres","4714"
"NRA01","National Road Length","2008","2008","-","All Carriage ways","Kilometres","5433"
"NRA01","National Road Length","2008","2008","01","Motorway","Kilometres","423"
"NRA01","National Road Length","2008","2008","02","Dual carriageway/two plus one","Kilometres","400"
"NRA01","National Road Length","2008","2008","03","Single","Kilometres","4610"
"NRA01","National Road Length","2009","2009","-","All Carriage ways","Kilometres","5444"
"NRA01","National Road Length","2009","2009","01","Motorway","Kilometres","663"
"NRA01","National Road Length","2009","2009","02","Dual carriageway/two plus one","Kilometres","299"
"NRA01","National Road Length","2009","2009","03","Single","Kilometres","4482"
"NRA01","National Road Length","2010","2010","-","All Carriage ways","Kilometres","5413"
"NRA01","National Road Length","2010","2010","01","Motorway","Kilometres","900"
"NRA01","National Road Length","2010","2010","02","Dual carriageway/two plus one","Kilometres","324"
"NRA01","National Road Length","2010","2010","03","Single","Kilometres","4189"
"NRA01","National Road Length","2011","2011","-","All Carriage ways","Kilometres","5413"
"NRA01","National Road Length","2011","2011","01","Motorway","Kilometres","900"
"NRA01","National Road Length","2011","2011","02","Dual carriageway/two plus one","Kilometres","324"
"NRA01","National Road Length","2011","2011","03","Single","Kilometres","4189"
"NRA01","National Road Length","2012","2012","-","All Carriage ways","Kilometres","5413"
"NRA01","National Road Length","2012","2012","01","Motorway","Kilometres","900"
"NRA01","National Road Length","2012","2012","02","Dual carriageway/two plus one","Kilometres","324"
"NRA01","National Road Length","2012","2012","03","Single","Kilometres","4189"
"NRA01","National Road Length","2013","2013","-","All Carriage ways","Kilometres","5305"
"NRA01","National Road Length","2013","2013","01","Motorway","Kilometres","897"
"NRA01","National Road Length","2013","2013","02","Dual carriageway/two plus one","Kilometres","298"
"NRA01","National Road Length","2013","2013","03","Single","Kilometres","4110"
"NRA01","National Road Length","2014","2014","-","All Carriage ways","Kilometres","5305"
"NRA01","National Road Length","2014","2014","01","Motorway","Kilometres","897"
"NRA01","National Road Length","2014","2014","02","Dual carriageway/two plus one","Kilometres","298"
"NRA01","National Road Length","2014","2014","03","Single","Kilometres","4110"
"NRA01","National Road Length","2015","2015","-","All Carriage ways","Kilometres","5306"
"NRA01","National Road Length","2015","2015","01","Motorway","Kilometres","916"
"NRA01","National Road Length","2015","2015","02","Dual carriageway/two plus one","Kilometres","294"
"NRA01","National Road Length","2015","2015","03","Single","Kilometres","4096"
"NRA01","National Road Length","2016","2016","-","All Carriage ways","Kilometres","5306"
"NRA01","National Road Length","2016","2016","01","Motorway","Kilometres","916"
"NRA01","National Road Length","2016","2016","02","Dual carriageway/two plus one","Kilometres","294"
"NRA01","National Road Length","2016","2016","03","Single","Kilometres","4096"
"NRA01","National Road Length","2017","2017","-","All Carriage ways","Kilometres","5306"
"NRA01","National Road Length","2017","2017","01","Motorway","Kilometres","916"
"NRA01","National Road Length","2017","2017","02","Dual carriageway/two plus one","Kilometres","294"
"NRA01","National Road Length","2017","2017","03","Single","Kilometres","4096"
"NRA01","National Road Length","2018","2018","-","All Carriage ways","Kilometres","5306"
"NRA01","National Road Length","2018","2018","01","Motorway","Kilometres","916"
"NRA01","National Road Length","2018","2018","02","Dual carriageway/two plus one","Kilometres","294"
"NRA01","National Road Length","2018","2018","03","Single","Kilometres","4096"
"NRA01","National Road Length","2019","2019","-","All Carriage ways","Kilometres","5309"
"NRA01","National Road Length","2019","2019","01","Motorway","Kilometres","995"
"NRA01","National Road Length","2019","2019","02","Dual carriageway/two plus one","Kilometres","306"
"NRA01","National Road Length","2019","2019","03","Single","Kilometres","4008"
"NRA01","National Road Length","2020","2020","-","All Carriage ways","Kilometres","5309"
"NRA01","National Road Length","2020","2020","01","Motorway","Kilometres","995"
"NRA01","National Road Length","2020","2020","02","Dual carriageway/two plus one","Kilometres","306"
"NRA01","National Road Length","2020","2020","03","Single","Kilometres","4008"
"NRA01","National Road Length","2021","2021","-","All Carriage ways","Kilometres","5309"
"NRA01","National Road Length","2021","2021","01","Motorway","Kilometres","995"
"NRA01","National Road Length","2021","2021","02","Dual carriageway/two plus one","Kilometres","332"
"NRA01","National Road Length","2021","2021","03","Single","Kilometres","3966"
"NRA01","National Road Length","2022","2022","-","All Carriage ways","Kilometres","5293"
"NRA01","National Road Length","2022","2022","01","Motorway","Kilometres","995"
"NRA01","National Road Length","2022","2022","02","Dual carriageway/two plus one","Kilometres","332"
"NRA01","National Road Length","2022","2022","03","Single","Kilometres","3966"
